seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13724,758572,20285,home,0,4-3-3,1,1,5,330645,Kirsty Fenton,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,21,312222,Sarah Hunter,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,2,326351,Madison Ayson,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,16,413526,Willa Pearson,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,15,300579,Mackenzie Hawkesby,Right Midfielder,7,0,0,-1,,,,1,402846,11,402846.0,5160.0,86',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,1,32,312234,Bianca Galic,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,18,393499,Amber Luchtmeijer,Forward,9,0,0,-1,,,,1,225749,9,225749.0,3480.0,58',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,1,7,393508,Amelia Cassar,Right Forward,10,0,0,-1,,,,1,377839,26,377839.0,4380.0,73',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,1,13,359687,Riley Tanner,Left Forward,11,0,0,-1,,,,1,380543,24,380543.0,3480.0,58',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,1,292438,Heather Hinz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,0,9,225749,Jodi Ulkekul,Substitute,0,1,393499,18,393499.0,3480.0,58',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,11,402846,Laurie-Ann Moïse,Substitute,0,1,300579,15,300579.0,5160.0,86',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,26,377839,Madeleine Caspers,Substitute,0,1,393508,7,393508.0,4380.0,73',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,24,380543,Caley Tallon-Henniker,Substitute,0,1,359687,13,359687.0,3480.0,58',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,22,414127,Alyssa Rose,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,24,333498,Malena Mieres,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,8,331962,Alexia Apostolakis,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,3,312484,Danielle Turner,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,18,300750,Leah Davidson,Center Right Midfielder,4,0,0,-1,,,,1,284185,15,284185.0,4020.0,67',2025-11-02 05:15:08
13724,758572,20280,away,0,4-4-2,1,1,13,175238,Rebekah Stott,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,5,249292,Taylor Otto,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,12,380263,Shelby Mcmahon,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,14,300532,Laura Hughes,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,6,300556,Leticia Mckenna,Center Left Forward,9,0,0,-1,,,,1,413498,7,413498.0,5220.0,87',2025-11-02 05:15:08
13724,758572,20280,away,0,4-4-2,1,1,9,330658,Holly Mcnamara,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,21,312221,Aideen Keane,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,0,7,413498,Danella Butrus,Substitute,0,1,300556,6,300556.0,5220.0,87',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20280,away,0,4-4-2,1,0,10,413502,Izabella Rako,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,0,20,330657,Caitlin Karic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,0,2,325838,Ellie Wilson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,0,15,284185,Chinaza Uchendu,Substitute,0,1,300750,18,300750.0,4020.0,67',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20280,away,0,4-4-2,1,0,23,158686,Melissa Barbieri,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758573,20281,home,1,3-4-2-1,1,1,1,332365,Chloe Lincoln,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,8,349336,Josie Studer,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,24,312197,Sharn Freier,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,11,413493,Marianna Seidl,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,2,331954,Leia Varley,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,5,293279,Aimee Medwin,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,14,354942,Zara Kruger,Center Right Midfielder,7,0,0,-1,,,,1,353047,4,353047.0,3840.0,64',2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,32,378542,Alicia Woods,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,10,374236,Grace Kuilamu,Forward,9,0,0,-1,,,,1,158688,13,158688.0,4740.0,79',2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,27,327573,Ashlyn Miller,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,1,17,309910,Bente Jansen,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,0,15,359146,Kiera Meyers,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,0,13,158688,Tameka Yallop,Substitute,0,1,374236,10,374236.0,4740.0,79',0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,0,18,401071,Amali Kinsella,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,0,22,374101,Ava Piazza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,0,4,353047,Kijah Stephenson,Substitute,0,1,354942,14,354942.0,3840.0,64',0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20281,home,1,3-4-2-1,1,0,12,172518,Nicholas Fitzgerald,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,1,300522,Courtney Newbon,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,19,330653,Zoe Mcmeeken,Right Midfielder,2,0,0,-1,,,,1,298746,3,298746.0,5400.0,90',2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,66,330647,Alana Jancevski,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,24,374355,Laura Pickett,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,18,213801,Kayla Ann Morrison,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,27,353049,Rosie Curtis,Center Right Defender,6,0,0,-1,,,,1,393835,28,393835.0,3960.0,66',2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,23,293183,Rachel Lowe,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,10,312316,Rhianna Pollicina,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,5,300527,Sofia Sakalis,Attacking Midfielder,9,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,16,292667,Kennedy White,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,1,9,348544,Holly Furphy,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,0,14,413506,Fiorina Iaria,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,0,17,410632,Poppy O'Keeffe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,0,28,393835,Sienna Techera,Substitute,0,1,353049,27,353049.0,3960.0,66',0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,0,41,374354,Jessica Young,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,0,3,298746,Claudia Bunge,Substitute,0,1,330653,19,330653.0,5400.0,90',0,0,-1,,,,2025-11-02 05:15:08
13724,758573,20284,away,0,3-4-1-2,1,0,30,281588,Payton Woodward,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,21991,home,1,5-4-1,1,1,1,298483,Sarah Willacy,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,13,414130,Kaiya Buchanan,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,77,330633,Barrie Clough,Left Back,3,0,0,-1,,,,1,397198,25,397198.0,2700.0,45',2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,18,300537,Taren King,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,14,348056,Greta Kraszula,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,3,414133,Elizabeth Barwick-Grey,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,22,368782,Peta Trimis,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,7,376267,Avaani Prakash,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,17,353102,Jynaya Dos Santos,Forward,9,0,0,-1,,,,1,368783,11,368783.0,4680.0,78',2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,16,368784,Tess Quilligan,Center Left Midfielder,10,0,0,-1,,,,1,312220,6,312220.0,4020.0,67',2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,1,26,414129,Isabella Coco-Di Sipio,Left Midfielder,11,0,0,-1,,,,1,393819,12,393819.0,4680.0,78',2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,0,25,397198,Blake Hughes,Substitute,0,1,330633,77,330633.0,2700.0,45',0,0,-1,,,,2025-11-03 06:14:20
