seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13724,758575,9,46304640,87',Ava Briedis (Canberra United ) Substitution at 87',2025-11-03 06:17:05
13724,758575,10,46304641,88',Zoe Karipidis (Newcastle Jets ) Substitution at 88',2025-11-03 06:17:05
13724,758575,11,46304642,89',India Breier (Newcastle Jets ) Goal at 89',2025-11-03 06:17:05
13724,758575,12,46304643,90'+3',India Breier (Newcastle Jets ) Yellow Card at 93',2025-11-03 06:17:05
13724,758576,0,46344781,21',Grace Kuilamu (Brisbane Roar) Goal at 21',2025-11-08 06:14:38
13724,758576,1,46344782,25',Rola Badawiya (Perth Glory) Goal at 25',2025-11-08 06:14:38
13724,758576,2,46344783,45',Susan Phonsongkham (Perth Glory) Substitution at 45',2025-11-08 06:14:38
13724,758576,3,46344784,52',Bente Jansen (Brisbane Roar) Goal at 52',2025-11-08 06:14:38
13724,758576,4,46344785,55',Bente Jansen (Brisbane Roar) Goal at 55',2025-11-08 06:14:38
13724,758576,5,46344788,63',Tameka Yallop (Brisbane Roar) Substitution at 63',2025-11-08 06:14:38
13724,758576,6,46344789,71',Ella Lincoln (Perth Glory) Substitution at 71',2025-11-08 06:14:38
13724,758576,7,46344790,71',Mischa Anderson (Perth Glory) Substitution at 71',2025-11-08 06:14:38
13724,758576,8,46344791,71',Charli Wainwright (Perth Glory) Substitution at 71',2025-11-08 06:14:38
13724,758576,9,46344792,80',Bronte Trew (Perth Glory) Substitution at 80',2025-11-08 06:14:38
13724,758576,10,46344793,84',Kiera Meyers (Brisbane Roar) Substitution at 84',2025-11-08 06:14:38
13724,758576,11,46344795,90',Ava Piazza (Brisbane Roar) Substitution at 90',2025-11-08 06:14:38
13724,758576,12,46344796,90'+2',Ella Lincoln (Perth Glory) Goal at 92',2025-11-08 06:14:38
13724,758577,0,46349335,18',Josephine Aulicino (Canberra United ) Goal at 18',2025-11-08 06:14:38
13724,758577,1,46349409,39',Marisa van der Meer (Wellington Phoenix) Goal at 39',2025-11-08 06:14:38
13724,758577,2,46349492,45',Emma Main (Wellington Phoenix) Substitution at 45',2025-11-08 06:14:38
13724,758577,3,46349520,63',Emma Hawkins (Canberra United ) Substitution at 63',2025-11-08 06:14:38
13724,758577,4,46349521,63',Keira Bobbin (Canberra United ) Substitution at 63',2025-11-08 06:14:38
13724,758577,5,46349523,64',Daisy Brazendale (Wellington Phoenix) Substitution at 64',2025-11-08 06:14:38
13724,758577,6,46349530,65',Manaia Elliott (Wellington Phoenix) Substitution at 65',2025-11-08 06:14:38
13724,758577,7,46349560,73',Ava Briedis (Canberra United ) Substitution at 73',2025-11-08 06:14:38
13724,758577,8,46349573,77',Bethany Gordon (Canberra United ) Yellow Card at 77',2025-11-08 06:14:38
13724,758577,9,46349594,82',Mary Stanic-Floody (Canberra United ) Substitution at 82',2025-11-08 06:14:38
13724,758577,10,46349608,85',Pia Vlok (Wellington Phoenix) Substitution at 85',2025-11-08 06:14:38
13724,758578,0,46349758,45',Jodi Ulkekul (Sydney FC ) Substitution at 45',2025-11-09 15:08:00
13724,758578,1,46349778,61',Madeleine Caspers (Sydney FC ) Substitution at 61',2025-11-09 15:08:00
13724,758578,2,46349779,61',Caley Tallon-Henniker (Sydney FC ) Substitution at 61',2025-11-09 15:08:00
13724,758578,3,46349781,64',Riley Tanner (Sydney FC ) Yellow Card at 64',2025-11-09 15:08:00
13724,758578,4,46349789,70',Chelsie Dawber (Adelaide United ) Substitution at 70',2025-11-09 15:08:00
13724,758578,5,46349792,75',Fiona Worts (Adelaide United ) Substitution at 75',2025-11-09 15:08:00
13724,758578,6,46349797,82',Kirsty Fenton (Sydney FC ) Yellow Card at 82',2025-11-09 15:08:00
13724,758578,7,46349801,85',Alyssa Rose (Sydney FC ) Substitution at 85',2025-11-09 15:08:00
13724,758578,8,46349804,88',Emily Hodgson (Adelaide United ) Substitution at 88',2025-11-09 15:08:00
13724,758579,0,46349535,25',Laura Hughes (Melbourne City) Yellow Card at 25',2025-11-08 06:14:38
13724,758579,1,46349557,32',Holly Mcnamara (Melbourne City) Goal at 32',2025-11-08 06:14:38
13724,758579,2,46349611,45'+1',Shelby Mcmahon (Melbourne City) Goal at 46',2025-11-08 06:14:38
13724,758579,3,46349706,45',Baxter Thew (Central Coast Mariners) Substitution at 45',2025-11-08 06:14:38
13724,758579,4,46349707,47',Lorena Baumann (Central Coast Mariners) Yellow Card at 47',2025-11-08 06:14:38
13724,758579,5,46349728,54',Holly Mcnamara (Melbourne City) Penalty - Scored at 54',2025-11-09 15:08:00
13724,758579,6,46349732,55',Blake Hughes (Central Coast Mariners) Substitution at 55',2025-11-09 15:08:00
13724,758579,7,46349745,62',Annalise Rasmussen (Central Coast Mariners) Substitution at 62',2025-11-09 15:08:00
13724,758579,8,46349746,63',Tamar Levin (Central Coast Mariners) Substitution at 63',2025-11-09 15:08:00
13724,758579,9,46349748,66',Deven Jackson (Melbourne City) Substitution at 66',2025-11-09 15:08:00
13724,758579,10,46349749,69',Danella Butrus (Melbourne City) Substitution at 69',2025-11-09 15:08:00
13724,758579,11,46349750,71',Shelby Mcmahon (Melbourne City) Goal at 71',2025-11-09 15:08:00
13724,758579,12,46349751,77',Tiana Fuller (Central Coast Mariners) Substitution at 77',2025-11-09 15:08:00
